N1309,Bundesland,Gebietsname,Wahlberechtigte,Abgegebene,Ungültige,Gültige,SPÖ,ÖVP,FPÖ,BZÖ,GRÜNE,FRANK,NEOS,KPÖ,PIRAT,CPÖ,WANDL,M,EUAUS,SLP,Column
G20307,Kärnten,Kötschach-Mauthen,2780,1871,45,1826,557,565,212,183,152,93,57,2,5,,,,,,
G20316,Kärnten,St. Stefan im Gailtal,1341,978,23,955,391,205,148,60,67,56,24,1,3,,,,,,
G20320,Kärnten,Gitschtal,1014,733,23,710,203,163,176,74,48,32,7,3,4,,,,,,
G20321,Kärnten,Lesachtal,1164,781,24,757,155,439,51,41,33,27,9,0,2,,,,,,
G20402,Kärnten,Ebenthal in Kärnten,6288,4142,97,4045,1594,393,709,431,446,280,120,35,37,,,,,,
G20403,Kärnten,Feistritz im Rosental,2009,1360,34,1326,562,201,152,113,156,95,29,9,9,,,,,,
G20405,Kärnten,Ferlach,5818,3940,88,3852,1513,399,623,453,418,266,115,41,24,,,,,,
G20409,Kärnten,Grafenstein,2285,1540,46,1494,393,359,263,247,113,87,21,3,8,,,,,,
G20412,Kärnten,Keutschach am See,1971,1283,16,1267,382,207,188,152,190,77,55,10,6,,,,,,
G20414,Kärnten,Köttmannsdorf,2308,1701,35,1666,520,309,292,161,214,97,53,9,11,,,,,,
G20415,Kärnten,Krumpendorf am Wörthersee,2646,1730,28,1702,371,329,206,196,346,117,117,13,7,,,,,,
G20416,Kärnten,Ludmannsdorf,1496,1011,10,1001,371,147,158,96,131,54,28,9,7,,,,,,
G20417,Kärnten,Maria Rain,1883,1278,29,1249,333,191,230,162,186,66,59,11,11,,,,,,
G20418,Kärnten,Maria Saal,3188,2173,37,2136,598,368,332,263,338,135,87,7,8,,,,,,
G20419,Kärnten,Maria Wörth,1212,749,14,735,161,150,97,79,120,67,49,4,8,,,,,,
G20421,Kärnten,Moosburg,3623,2379,51,2328,664,451,380,253,315,146,80,18,21,,,,,,
G20424,Kärnten,Pörtschach am Wörther See,2129,1338,18,1320,260,323,186,157,189,99,89,8,9,,,,,,
