N1309,Bundesland,Gebietsname,Wahlberechtigte,Abgegebene,Ungültige,Gültige,SPÖ,ÖVP,FPÖ,BZÖ,GRÜNE,FRANK,NEOS,KPÖ,PIRAT,CPÖ,WANDL,M,EUAUS,SLP,Column
G61707,Steiermark,Feistritz bei Anger,866,658,9,649,144,122,168,16,52,120,18,4,4,1,,,,,
G61708,Steiermark,Fischbach,1301,908,21,887,146,271,297,28,28,92,15,5,3,2,,,,,
G61709,Steiermark,Fladnitz an der Teichalm,950,735,10,725,113,236,216,11,39,84,16,4,4,2,,,,,
G61710,Steiermark,Floing,1022,729,11,718,147,167,203,24,40,115,13,8,0,1,,,,,
G61711,Steiermark,Gasen,756,620,14,606,114,289,82,22,26,51,9,7,4,2,,,,,
G61712,Steiermark,Gersdorf an der Feistritz,998,804,15,789,42,153,405,24,44,90,19,2,5,5,,,,,
G61713,Steiermark,Gleisdorf,4656,2679,33,2646,527,493,578,86,428,332,132,48,20,2,,,,,
G61714,Steiermark,Gschaid bei Birkfeld,768,608,13,595,77,196,165,25,26,85,17,3,0,1,,,,,
G61715,Steiermark,Gutenberg an der Raabklamm,1032,741,13,728,150,153,124,35,71,152,25,10,6,2,,,,,
G61716,Steiermark,Markt Hartmannsdorf,2398,1612,32,1580,150,354,437,75,206,244,67,33,9,5,,,,,
G61717,Steiermark,Haslau bei Birkfeld,358,285,3,282,66,70,89,12,11,28,3,1,1,1,,,,,
G61718,Steiermark,Hirnsdorf,585,423,1,422,92,100,124,23,22,49,6,5,0,1,,,,,
G61719,Steiermark,Hofstätten an der Raab,1691,1123,18,1105,177,270,285,57,117,136,42,13,8,0,,,,,
G61720,Steiermark,Hohenau an der Raab,1087,832,19,813,108,281,172,23,30,166,20,8,3,2,,,,,
G61721,Steiermark,Ilztal,1461,1123,22,1101,181,289,264,38,88,188,33,11,6,3,,,,,
G61722,Steiermark,Koglhof,920,657,7,650,94,236,136,27,23,113,9,5,6,1,,,,,
G61723,Steiermark,Krottendorf,1967,1397,24,1373,317,211,289,30,147,291,45,30,5,8,,,,,
G61724,Steiermark,Kulm bei Weiz,409,295,6,289,42,63,94,11,12,57,2,3,0,5,,,,,
G61725,Steiermark,Labuch,656,461,12,449,82,85,137,11,39,76,9,4,4,2,,,,,
G61726,Steiermark,Laßnitzthal,879,614,3,611,157,94,142,28,45,112,17,14,2,0,,,,,
G61727,Steiermark,Ludersdorf-Wilfersdorf,1664,1132,18,1114,189,189,290,60,161,151,34,27,12,1,,,,,
G61728,Steiermark,Miesenbach bei Birkfeld,606,491,11,480,91,172,108,17,23,54,14,1,0,0,,,,,
G61729,Steiermark,Mitterdorf an der Raab,1684,1220,14,1206,253,291,278,36,87,208,32,10,10,1,,,,,
G61730,Steiermark,Mortantsch,1664,1246,33,1213,260,290,218,54,119,219,24,15,5,9,,,,,
G61731,Steiermark,Naas,1141,902,19,883,158,275,211,28,57,130,12,9,2,1,,,,,
G61732,Steiermark,Naintsch,520,415,7,408,63,173,83,19,5,54,6,0,2,3,,,,,
G61733,Steiermark,Neudorf bei Passail,428,310,2,308,56,73,131,9,3,32,2,2,0,0,,,,,
G61734,Steiermark,Nitscha,1195,839,14,825,122,205,160,27,116,157,14,17,3,4,,,,,
G61735,Steiermark,Oberrettenbach,389,310,11,299,31,97,81,9,22,48,3,2,2,4,,,,,
G61736,Steiermark,Passail,1617,1173,23,1150,213,345,255,34,90,172,30,7,3,1,,,,,
G61737,Steiermark,Pischelsdorf in der Steiermark,2095,1479,20,1459,219,301,457,54,123,251,31,12,5,6,,,,,
G61739,Steiermark,Preßguts,333,229,6,223,34,33,82,10,13,44,4,2,0,1,,,,,
G61740,Steiermark,Puch bei Weiz,1745,1255,32,1223,192,267,275,57,107,265,34,9,11,6,,,,,
G61741,Steiermark,Ratten,992,710,11,699,229,224,119,9,45,60,7,2,3,1,,,,,
G61742,Steiermark,Reichendorf,525,417,11,406,12,23,221,29,34,65,19,2,1,0,,,,,
G61743,Steiermark,Rettenegg,638,469,8,461,126,167,87,13,17,41,7,1,1,1,,,,,
G61744,Steiermark,St. Kathrein am Hauenstein,569,433,7,426,109,147,93,19,10,33,8,3,2,2,,,,,
G61745,Steiermark,Sankt Kathrein am Offenegg,970,733,15,718,126,265,142,17,26,126,10,4,0,2,,,,,
G61746,Steiermark,St. Margarethen an der Raab,3226,2249,28,2221,346,605,498,70,251,344,56,21,14,16,,,,,
G61747,Steiermark,Sankt Ruprecht an der Raab,1751,1175,16,1159,174,236,296,40,142,204,38,17,11,1,,,,,
G61748,Steiermark,Sinabelkirchen,3216,2293,25,2268,441,348,764,104,173,362,41,18,11,6,,,,,
G61749,Steiermark,Stenzengreith,423,293,6,287,32,67,65,15,15,74,6,6,5,2,,,,,
G61750,Steiermark,Strallegg,1628,1234,17,1217,260,414,289,41,38,125,30,7,6,7,,,,,
G61751,Steiermark,Thannhausen,1947,1433,33,1400,283,369,271,56,112,255,32,13,0,9,,,,,
G61752,Steiermark,Ungerdorf,697,453,14,439,56,86,110,14,48,92,20,5,7,1,,,,,
G61753,Steiermark,Unterfladnitz,1296,916,9,907,138,188,230,27,91,196,13,7,11,6,,,,,
G61754,Steiermark,Waisenegg,927,717,17,700,109,221,200,16,30,98,12,3,3,8,,,,,
G61755,Steiermark,Weiz,7248,4488,80,4408,1446,493,806,130,566,702,121,88,38,18,,,,,
G62001,Steiermark,Amering,894,651,10,641,141,293,95,22,38,34,12,5,1,0,,,,,
G62002,Steiermark,Apfelberg,926,626,6,620,241,54,155,18,49,61,18,21,3,0,,,,,
G62003,Steiermark,Bretstein,258,213,7,206,36,31,64,10,17,27,6,11,3,1,,,,,
G62004,Steiermark,Eppenstein,1040,762,12,750,176,254,157,28,32,69,12,13,8,1,,,,,
G62005,Steiermark,Feistritz bei Knittelfeld,622,489,1,488,155,77,111,29,44,48,15,6,3,0,,,,,
G62006,Steiermark,Flatschach,167,130,3,127,17,33,45,11,3,12,1,5,0,0,,,,,
G62007,Steiermark,Fohnsdorf,6692,4461,47,4414,1463,490,1184,198,297,496,132,122,23,9,,,,,
G62008,Steiermark,Gaal,1174,873,11,862,173,334,181,43,37,59,21,9,3,2,,,,,
G62009,Steiermark,Großlobming,968,670,7,663,213,129,174,29,50,42,17,5,3,1,,,,,
G62010,Steiermark,Hohentauern,392,234,2,232,77,45,56,7,13,24,5,3,1,1,,,,,
G62011,Steiermark,Judenburg,7697,4894,62,4832,1698,545,1356,231,327,369,138,147,19,2,,,,,
G62012,Steiermark,Kleinlobming,534,359,4,355,42,97,84,53,16,36,12,3,2,10,,,,,
G62013,Steiermark,Knittelfeld,8774,5390,50,5340,2132,431,1521,203,304,383,130,214,17,5,,,,,
G62014,Steiermark,Kobenz,1497,1041,17,1024,252,251,210,44,90,136,26,11,4,0,,,,,
G62015,Steiermark,Maria Buch-Feistritz,1862,1332,14,1318,295,327,306,80,87,153,47,13,6,4,,,,,
G62016,Steiermark,Obdach,1676,1161,18,1143,322,270,302,53,69,76,23,17,11,0,,,,,
G62017,Steiermark,Oberkurzheim,598,390,8,382,87,106,93,26,17,29,18,2,2,2,,,,,
G62018,Steiermark,Oberweg,506,357,4,353,111,81,74,15,32,23,9,5,3,0,,,,,
G62019,Steiermark,Oberzeiring,726,498,11,487,96,137,118,18,39,53,14,4,4,4,,,,,
G62020,Steiermark,Pöls,2038,1414,22,1392,583,181,339,56,71,113,28,17,3,1,,,,,
G62021,Steiermark,Pusterwald,411,286,4,282,60,104,66,15,4,30,1,2,0,0,,,,,
G62022,Steiermark,Rachau,502,367,2,365,75,115,77,32,26,24,8,6,2,0,,,,,
G62023,Steiermark,Reifling,328,244,2,242,75,53,58,12,12,17,8,6,1,0,,,,,
G62024,Steiermark,Reisstraße,146,94,3,91,21,24,32,4,5,3,0,2,0,0,,,,,
G62025,Steiermark,Sankt Anna am Lavantegg,335,254,4,250,91,67,55,7,5,22,1,2,0,0,,,,,
G62026,Steiermark,Sankt Georgen ob Judenburg,717,523,11,512,134,164,104,29,31,33,10,5,2,0,,,,,
G62027,Steiermark,Sankt Johann am Tauern,406,253,3,250,66,86,50,14,11,18,5,0,0,0,,,,,
G62028,Steiermark,Sankt Lorenzen bei Knittelfeld,668,495,2,493,128,147,110,31,26,39,2,8,1,1,,,,,
G62029,Steiermark,Sankt Marein bei Knittelfeld,974,690,8,682,171,154,180,48,43,64,11,9,2,0,,,,,
G62030,Steiermark,Sankt Margarethen bei Knittelfeld,1098,848,11,837,281,163,180,36,65,74,22,12,3,1,,,,,
G62031,Steiermark,Sankt Oswald-Möderbrugg,985,743,9,734,206,206,176,25,34,55,14,9,4,5,,,,,
G62032,Steiermark,Sankt Peter ob Judenburg,909,711,13,698,131,220,172,34,46,66,24,5,0,0,,,,,
G62033,Steiermark,Sankt Wolfgang-Kienberg,309,219,5,214,25,99,50,7,10,14,6,1,2,0,,,,,
G62034,Steiermark,Seckau,1079,825,13,812,153,339,132,30,55,72,16,6,3,6,,,,,
G62035,Steiermark,Spielberg,4220,2924,38,2886,1020,339,764,150,158,286,76,76,13,4,,,,,
G62036,Steiermark,Unzmarkt-Frauenburg,1184,804,17,787,233,160,194,40,58,67,18,15,2,0,,,,,
G62037,Steiermark,Weißkirchen in Steiermark,1071,749,12,737,189,171,158,52,63,63,29,8,4,0,,,,,
G62038,Steiermark,Zeltweg,5807,3682,34,3648,1296,320,1155,151,195,273,100,128,22,8,,,,,
G62101,Steiermark,Aflenz Kurort,854,581,7,574,113,161,93,17,93,55,27,5,7,3,,,,,
G62102,Steiermark,Aflenz Land,1239,893,16,877,247,209,228,23,78,57,21,11,2,1,,,,,
G62103,Steiermark,Allerheiligen im Mürztal,1640,1180,23,1157,388,242,274,42,92,71,30,15,3,0,,,,,
G62104,Steiermark,Altenberg an der Rax,271,218,7,211,60,53,46,8,16,11,13,2,2,0,,,,,
G62105,Steiermark,Breitenau am Hochlantsch,1558,1102,30,1072,386,246,212,44,31,96,26,27,4,0,,,,,
G62106,Steiermark,Bruck an der Mur,10305,6451,84,6367,2294,752,1557,233,563,529,201,184,32,22,,,,,
G62107,Steiermark,Etmißl,417,343,11,332,53,71,113,6,21,46,12,7,2,1,,,,,
G62108,Steiermark,Frauenberg,127,92,4,88,24,38,16,1,1,4,3,1,0,0,,,,,
G62109,Steiermark,Ganz,295,205,15,190,19,49,46,22,10,24,14,3,2,1,,,,,
G62110,Steiermark,Gußwerk,1109,826,15,811,442,155,112,15,27,44,10,3,1,2,,,,,
G62111,Steiermark,Halltal,271,182,7,175,50,50,47,3,4,12,5,4,0,0,,,,,
G62112,Steiermark,Kapellen,527,389,10,379,114,104,95,12,14,21,15,3,0,1,,,,,
G62113,Steiermark,Kapfenberg,16363,9676,74,9602,3881,736,2786,261,600,715,271,285,49,18,,,,,
G62114,Steiermark,Kindberg,4560,3016,40,2976,1241,430,675,89,171,234,71,50,13,2,,,,,
G62115,Steiermark,Krieglach,4405,3002,44,2958,895,492,825,126,215,249,91,47,11,7,,,,,
G62116,Steiermark,Langenwang,3338,2285,30,2255,574,558,603,83,151,159,79,32,12,4,,,,,
G62117,Steiermark,Mariazell,1191,774,14,760,165,201,153,45,70,81,33,4,4,4,,,,,
G62118,Steiermark,Mitterdorf im Mürztal,2061,1362,19,1343,482,167,370,52,81,132,30,21,4,4,,,,,
G62119,Steiermark,Mürzhofen,799,588,14,574,236,80,112,29,42,36,27,10,2,0,,,,,
G62120,Steiermark,Mürzsteg,341,234,5,229,103,36,63,7,6,3,7,0,2,2,,,,,
G62121,Steiermark,Mürzzuschlag,6908,4372,83,4289,1747,383,1149,124,275,323,121,130,28,9,,,,,
G62122,Steiermark,Neuberg an der Mürz,1091,783,18,765,261,152,204,25,34,49,25,9,5,1,,,,,
G62123,Steiermark,Oberaich,2684,1883,27,1856,552,301,460,83,159,174,70,44,12,1,,,,,
G62124,Steiermark,Parschlug,1445,1023,10,1013,281,156,324,47,65,88,28,15,3,6,,,,,
G62125,Steiermark,Pernegg an der Mur,1993,1532,24,1508,457,272,430,56,106,118,36,24,9,0,,,,,
G62126,Steiermark,Sankt Ilgen,233,162,5,157,57,34,31,6,7,14,5,3,0,0,,,,,
G62127,Steiermark,Sankt Katharein an der Laming,880,610,7,603,211,113,173,16,24,40,17,6,3,0,,,,,
G62128,Steiermark,Sankt Lorenzen im Mürztal,2917,1984,30,1954,524,250,582,84,175,197,96,27,15,4,,,,,
G62129,Steiermark,Sankt Marein im Mürztal,2055,1375,18,1357,401,126,457,50,112,128,50,28,5,0,,,,,
G62130,Steiermark,Sankt Sebastian,858,615,13,602,257,120,106,24,27,47,10,9,2,0,,,,,
G62131,Steiermark,Spital am Semmering,1328,919,17,902,312,192,238,28,42,49,20,17,2,2,,,,,
G62132,Steiermark,Stanz im Mürztal,1600,1195,14,1181,394,212,310,34,73,102,35,15,2,4,,,,,
G62133,Steiermark,Thörl,1421,955,17,938,433,107,204,21,46,75,19,23,5,5,,,,,
G62134,Steiermark,Tragöß,850,635,8,627,163,160,185,29,20,34,19,11,5,1,,,,,
G62135,Steiermark,Turnau,1308,948,16,932,272,186,288,27,49,71,23,10,3,3,,,,,
G62136,Steiermark,Veitsch,2114,1488,26,1462,776,181,273,20,53,93,27,30,6,3,,,,,
G62137,Steiermark,Wartberg im Mürztal,1811,1220,11,1209,426,134,384,37,54,109,31,23,5,6,,,,,
G62201,Steiermark,Altenmarkt bei Fürstenfeld,952,692,8,684,89,180,152,27,62,105,39,5,3,22,,,,,
G62202,Steiermark,Bad Blumau,1273,894,14,880,77,292,251,31,58,121,24,9,7,10,,,,,
G62203,Steiermark,Bad Waltersdorf,1761,1273,23,1250,156,457,257,47,84,205,28,4,8,4,,,,,
G62204,Steiermark,Blaindorf,552,454,11,443,77,88,144,22,19,80,6,4,3,0,,,,,
G62205,Steiermark,Buch-St. Magdalena,1809,1348,12,1336,223,427,353,41,74,171,30,6,5,6,,,,,
G62206,Steiermark,Burgau,867,619,10,609,169,150,133,24,42,61,18,6,4,2,,,,,
G62207,Steiermark,Dechantskirchen,1375,1009,13,996,244,384,207,15,45,65,21,3,7,5,,,,,
G62208,Steiermark,Dienersdorf,553,414,10,404,48,89,110,26,34,79,13,1,4,0,,,,,
G62209,Steiermark,Ebersdorf,1020,779,16,763,78,220,257,41,25,111,26,2,1,2,,,,,
G62210,Steiermark,Eichberg,1017,782,14,768,136,247,224,17,32,94,15,1,2,0,,,,,
G62211,Steiermark,Friedberg,2187,1658,32,1626,439,464,338,37,99,162,62,7,14,4,,,,,
G62212,Steiermark,Fürstenfeld,4829,3134,53,3081,567,839,660,134,276,407,110,33,21,34,,,,,
G62213,Steiermark,Grafendorf bei Hartberg,2087,1551,29,1522,222,526,387,36,97,205,33,10,1,5,,,,,
G62214,Steiermark,Greinbach,1484,1119,27,1092,179,400,275,28,49,131,20,2,8,0,,,,,
G62215,Steiermark,Großhart,518,411,12,399,35,115,113,19,15,99,2,0,1,0,,,,,
G62216,Steiermark,Großsteinbach,1057,819,10,809,72,286,209,45,49,117,15,10,3,3,,,,,
G62217,Steiermark,Großwilfersdorf,1143,787,11,776,103,287,168,33,43,101,18,10,3,10,,,,,
G62218,Steiermark,Hainersdorf,529,390,10,380,29,143,81,13,33,63,13,1,2,2,,,,,
G62219,Steiermark,Hartberg,5161,3372,48,3324,566,979,740,130,339,358,169,22,11,10,,,,,
G62220,Steiermark,Hartberg Umgebung,1707,1274,19,1255,126,595,275,46,69,103,36,4,0,1,,,,,
G62221,Steiermark,Hartl,673,579,7,572,48,234,136,27,16,91,15,3,1,1,,,,,
G62222,Steiermark,Hofkirchen bei Hartberg,520,410,15,395,41,115,95,12,30,73,20,1,6,2,,,,,
G62223,Steiermark,Ilz,2112,1474,24,1450,187,351,349,82,144,230,53,14,29,11,,,,,
G62224,Steiermark,Kaibing,338,270,6,264,63,72,64,7,7,39,4,2,3,3,,,,,
G62225,Steiermark,Kaindorf,1189,845,11,834,105,282,236,33,47,98,28,1,4,0,,,,,
G62226,Steiermark,Lafnitz,1082,835,17,818,269,208,190,28,37,69,12,4,1,0,,,,,
G62227,Steiermark,Limbach bei Neudau,284,242,11,231,33,68,52,14,12,38,3,3,4,4,,,,,
G62228,Steiermark,Loipersdorf bei Fürstenfeld,1166,813,13,800,78,223,238,34,56,133,19,3,4,12,,,,,
G62229,Steiermark,Mönichwald,734,591,21,570,96,171,151,29,23,70,14,8,0,8,,,,,
G62230,Steiermark,Nestelbach im Ilztal,949,690,17,673,76,123,213,45,50,133,9,12,3,9,,,,,
G62231,Steiermark,Neudau,884,610,17,593,249,87,119,15,39,64,9,9,1,1,,,,,
G62232,Steiermark,Ottendorf an der Rittschein,1265,840,16,824,135,203,238,26,51,139,12,5,6,9,,,,,
G62233,Steiermark,Pinggau,2584,1874,32,1842,417,639,428,65,83,141,48,8,8,5,,,,,
G62234,Steiermark,Pöllau,1760,1269,23,1246,309,370,240,45,128,103,31,10,4,6,,,,,
G62235,Steiermark,Pöllauberg,1773,1404,15,1389,202,531,313,37,79,180,25,10,6,6,,,,,
G62236,Steiermark,Puchegg,460,345,3,342,58,159,77,3,14,26,3,0,2,0,,,,,
G62237,Steiermark,Rabenwald,521,431,13,418,145,89,97,15,10,46,9,5,0,2,,,,,
G62238,Steiermark,Riegersberg,858,671,15,656,89,275,152,22,28,66,12,3,4,5,,,,,
G62239,Steiermark,Rohr bei Hartberg,914,648,7,641,138,196,171,20,33,67,10,4,1,1,,,,,
G62240,Steiermark,Rohrbach an der Lafnitz,900,659,8,651,243,94,141,49,40,52,21,9,0,2,,,,,
G62241,Steiermark,Saifen-Boden,900,700,16,684,100,248,201,17,32,66,9,3,8,0,,,,,
G62242,Steiermark,Sankt Jakob im Walde,904,660,17,643,132,279,122,15,17,59,12,1,2,4,,,,,
G62243,Steiermark,Sankt Johann bei Herberstein,303,235,1,234,38,60,49,12,33,31,9,1,1,0,,,,,
G62244,Steiermark,Sankt Johann in der Haide,1645,1181,24,1157,279,295,311,39,59,156,11,6,0,1,,,,,
G62245,Steiermark,Sankt Lorenzen am Wechsel,1313,971,24,947,188,393,203,23,42,78,14,3,0,3,,,,,
G62246,Steiermark,Schachen bei Vorau,1006,845,9,836,94,342,223,24,43,82,16,4,5,3,,,,,
G62247,Steiermark,Schäffern,1137,949,15,934,111,471,197,26,29,50,37,3,4,6,,,,,
G62248,Steiermark,Schlag bei Thalberg,778,570,6,564,215,121,118,20,27,38,17,3,5,0,,,,,
G62249,Steiermark,Schönegg bei Pöllau,1136,872,14,858,142,327,210,18,30,106,10,11,3,1,,,,,
G62250,Steiermark,Sebersdorf,1184,908,20,888,147,270,241,26,55,119,17,7,5,1,,,,,
G62251,Steiermark,Siegersdorf bei Herberstein,245,186,3,183,25,56,54,5,9,30,3,0,0,1,,,,,
G62252,Steiermark,Söchau,1206,885,11,874,140,238,221,30,75,140,17,5,1,7,,,,,
G62253,Steiermark,Sonnhofen,849,688,8,680,177,263,114,19,21,65,9,8,3,1,,,,,
G62254,Steiermark,Stambach,516,366,16,350,42,151,104,11,10,18,12,1,0,1,,,,,
G62255,Steiermark,Stein,420,324,7,317,27,68,100,13,26,61,8,3,0,11,,,,,
G62256,Steiermark,Stubenberg,1938,1285,16,1269,244,350,306,36,85,189,41,9,7,2,,,,,
G62257,Steiermark,Tiefenbach bei Kaindorf,593,422,10,412,57,98,124,19,23,73,12,1,4,1,,,,,
G62258,Steiermark,Übersbach,974,664,9,655,107,194,131,19,57,112,23,5,1,6,,,,,
G62259,Steiermark,Vorau,1161,795,12,783,144,292,195,26,45,44,26,3,7,1,,,,,
G62260,Steiermark,Vornholz,601,496,4,492,57,224,107,14,16,62,4,4,2,2,,,,,
G62261,Steiermark,Waldbach,599,457,6,451,81,147,111,23,35,36,11,1,6,0,,,,,
G62262,Steiermark,Wenigzell,1176,913,18,895,122,414,173,26,54,82,17,2,4,1,,,,,
G62263,Steiermark,Wörth an der Lafnitz,301,228,8,220,59,53,44,8,12,33,8,2,0,1,,,,,
G62301,Steiermark,Auersbach,722,573,8,565,69,238,140,16,26,62,11,1,1,1,,,,,
G62302,Steiermark,Aug-Radisch,244,179,4,175,6,62,70,10,4,15,6,1,1,0,,,,,
G62303,Steiermark,Bad Gleichenberg,1755,1045,13,1032,167,287,236,49,91,155,28,10,3,6,,,,,
G62304,Steiermark,Bad Radkersburg,1113,646,9,637,150,185,108,34,73,49,26,5,4,3,,,,,
G62305,Steiermark,Bairisch Kölldorf,854,639,15,624,216,136,149,14,29,65,8,2,3,2,,,,,
G62306,Steiermark,Baumgarten bei Gnas,480,349,10,339,65,103,87,13,17,36,5,8,1,4,,,,,
G62307,Steiermark,Bierbaum bei Auersbach,386,260,5,255,31,76,81,5,17,40,2,3,0,0,,,,,
G62308,Steiermark,Breitenfeld an der Rittschein,654,496,10,486,113,127,119,14,19,73,16,0,0,5,,,,,
G62309,Steiermark,Deutsch Goritz,1074,778,16,762,98,341,162,24,48,72,8,4,4,1,,,,,
G62310,Steiermark,Dietersdorf am Gnasbach,320,228,4,224,24,71,54,6,21,33,12,2,0,1,,,,,
G62311,Steiermark,Edelsbach bei Feldbach,1093,830,18,812,153,283,171,23,41,88,37,9,4,3,,,,,
G62312,Steiermark,Edelstauden,379,263,2,261,33,80,71,13,17,40,3,3,0,1,,,,,
G62313,Steiermark,Eichfeld,755,580,14,566,94,194,127,22,28,84,12,3,1,1,,,,,
G62314,Steiermark,Eichkögl,1021,685,11,674,93,179,217,20,37,98,19,7,3,1,,,,,
G62315,Steiermark,Fehring,2505,1646,22,1624,332,501,418,38,114,149,45,12,10,5,,,,,
G62316,Steiermark,Feldbach,3446,1996,33,1963,529,365,482,59,164,231,75,29,16,13,,,,,
G62317,Steiermark,Fladnitz im Raabtal,624,429,4,425,83,117,130,5,14,61,7,3,4,1,,,,,
G62318,Steiermark,Frannach,467,366,3,363,45,132,115,6,19,30,11,2,3,0,,,,,
G62319,Steiermark,Frutten-Gießelsdorf,548,376,10,366,54,161,71,14,18,41,2,3,1,1,,,,,
G62320,Steiermark,Glojach,205,163,8,155,9,28,57,11,8,31,7,1,0,3,,,,,
G62321,Steiermark,Gnas,1616,1175,27,1148,112,459,291,40,73,140,23,3,5,2,,,,,
G62322,Steiermark,Gniebing-Weißenbach,1783,1192,21,1171,178,314,310,62,86,150,48,10,3,10,,,,,
G62323,Steiermark,Gosdorf,933,647,16,631,153,166,172,17,20,80,15,3,3,2,,,,,
G62324,Steiermark,Gossendorf,731,541,14,527,81,150,171,20,27,55,16,1,5,1,,,,,
G62325,Steiermark,Grabersdorf,279,192,9,183,12,67,44,10,10,32,2,5,1,0,,,,,
G62326,Steiermark,Halbenrain,1508,1021,28,993,138,361,257,33,46,122,22,5,8,1,,,,,
G62327,Steiermark,Hatzendorf,1504,1025,19,1006,135,323,254,27,70,150,22,8,8,9,,,,,
G62328,Steiermark,Hof bei Straden,705,505,10,495,65,181,113,22,28,79,6,1,0,0,,,,,
G62329,Steiermark,Hohenbrugg-Weinberg,823,627,11,616,155,180,149,21,33,52,8,8,5,5,,,,,
G62330,Steiermark,Jagerberg,1418,1025,18,1007,113,367,270,37,46,141,16,9,1,7,,,,,
G62331,Steiermark,Johnsdorf-Brunn,637,464,5,459,96,168,100,13,17,50,9,3,3,0,,,,,
G62332,Steiermark,Kapfenstein,1335,944,16,928,157,323,247,32,40,90,24,4,9,2,,,,,
G62333,Steiermark,Kirchbach in Steiermark,1298,879,12,867,99,281,192,44,57,141,36,7,6,4,,,,,
G62334,Steiermark,Kirchberg an der Raab,1682,1185,18,1167,198,295,335,45,76,162,34,7,6,9,,,,,
G62335,Steiermark,Klöch,1052,721,27,694,73,329,136,25,39,72,7,6,6,1,,,,,
G62336,Steiermark,Kohlberg,437,334,11,323,69,76,80,11,10,63,8,4,1,1,,,,,
G62337,Steiermark,Kornberg bei Riegersburg,952,705,11,694,91,218,189,24,39,83,38,5,2,5,,,,,
G62338,Steiermark,Krusdorf,328,246,2,244,18,103,59,3,11,42,4,3,1,0,,,,,
G62339,Steiermark,Leitersdorf im Raabtal,555,416,5,411,110,88,113,18,32,33,12,3,0,2,,,,,
G62340,Steiermark,Lödersdorf,583,412,10,402,59,123,96,17,19,59,19,3,7,0,,,,,
G62341,Steiermark,Maierdorf,458,350,9,341,35,158,78,10,10,41,3,4,0,2,,,,,
G62342,Steiermark,Merkendorf,963,647,7,640,129,159,195,17,28,89,16,6,1,0,,,,,
G62343,Steiermark,Mettersdorf am Saßbach,1078,761,11,750,117,258,192,21,29,115,12,2,4,0,,,,,
G62344,Steiermark,Mitterlabill,341,253,6,247,17,94,61,8,17,40,8,0,1,1,,,,,
G62345,Steiermark,Mühldorf bei Feldbach,2597,1793,26,1767,315,473,431,66,133,257,56,15,11,10,,,,,
G62346,Steiermark,Mureck,1273,740,16,724,165,155,183,43,71,66,25,13,2,1,,,,,
G62347,Steiermark,Murfeld,1405,960,28,932,178,256,268,21,61,105,33,3,4,3,,,,,
G62348,Steiermark,Oberdorf am Hochegg,635,428,8,420,87,130,111,9,18,52,8,3,1,1,,,,,
G62349,Steiermark,Oberstorcha,501,350,7,343,62,93,111,9,10,47,8,2,0,1,,,,,
G62350,Steiermark,Paldau,1740,1237,10,1227,209,389,320,34,40,192,24,7,3,9,,,,,
G62351,Steiermark,Perlsdorf,297,252,7,245,23,76,65,8,17,37,10,3,0,6,,,,,
G62352,Steiermark,Pertlstein,664,458,8,450,99,120,109,9,20,64,22,4,1,2,,,,,
G62353,Steiermark,Petersdorf II,706,504,6,498,52,115,172,24,26,71,19,9,4,6,,,,,
G62354,Steiermark,Pirching am Traubenberg,1268,904,7,897,95,312,267,31,57,90,21,11,4,9,,,,,
G62355,Steiermark,Poppendorf,573,450,14,436,40,168,114,9,13,64,17,3,3,5,,,,,
G62356,Steiermark,Raabau,481,372,7,365,73,127,68,10,42,27,13,2,0,3,,,,,
G62357,Steiermark,Radkersburg Umgebung,1469,973,26,947,162,336,193,42,69,104,27,12,2,0,,,,,
G62358,Steiermark,Raning,653,494,15,479,42,150,160,23,11,73,15,3,2,0,,,,,
G62359,Steiermark,Ratschendorf,522,403,7,396,92,110,76,11,27,54,11,9,2,4,,,,,
G62360,Steiermark,Riegersburg,1959,1375,30,1345,167,483,312,42,93,190,32,12,12,2,,,,,
G62361,Steiermark,Sankt Anna am Aigen,1507,1018,15,1003,107,395,292,30,38,117,16,4,3,1,,,,,
G62362,Steiermark,Sankt Peter am Ottersbach,1901,1324,16,1308,286,421,311,31,56,148,37,3,11,4,,,,,
G62363,Steiermark,Sankt Stefan im Rosental,3122,2249,34,2215,333,723,581,74,114,282,67,13,7,21,,,,,
G62364,Steiermark,Schwarzau im Schwarzautal,529,393,8,385,41,148,87,18,15,63,6,2,3,2,,,,,
G62365,Steiermark,Stainz bei Straden,802,588,8,580,83,188,167,15,47,52,23,3,2,0,,,,,
G62366,Steiermark,Straden,1283,963,22,941,124,370,218,29,67,96,24,4,3,6,,,,,
G62367,Steiermark,Studenzen,562,415,2,413,73,74,143,17,32,61,9,2,2,0,,,,,
G62368,Steiermark,Tieschen,1130,812,17,795,185,260,159,36,33,87,19,11,5,0,,,,,
G62369,Steiermark,Trautmannsdorf in Oststeiermark,727,495,4,491,126,129,122,11,28,62,7,2,2,2,,,,,
G62370,Steiermark,Trössing,227,161,4,157,9,43,54,11,5,32,1,0,1,1,,,,,
G62371,Steiermark,Unterauersbach,368,298,22,276,21,87,82,13,11,48,8,4,1,1,,,,,
G62372,Steiermark,Unterlamm,1046,706,19,687,72,252,239,12,21,74,5,2,2,8,,,,,
G62373,Steiermark,Weinburg am Saßbach,856,615,16,599,88,218,145,24,34,67,14,0,1,8,,,,,
